,name,description
31,ApplicationDomain," An ApplicationDomain defines the scope of applicability for a
            ViewDefinitionContext Each ApplicationDomain optionally references a data item in either
            a ExternalOwlObject or a ExternalItem that may indicate what the domain is.
         "
32,Approval,"An Approval is a formal confirmation of the quality of some activity or
            product data. "
33,ApprovalAssignment,"An ApprovalAssignment is the assignment of an Approval to activity or
            product data. "
34,ApprovalRelationship,"An ApprovalRelationship is a typed association between two instances of
            Approval. "
35,ApprovingPersonOrganization,"An ApprovingPersonOrganization is an association between an Approval and
            the organization or person and organization that has granted this approval.
         "
36,AssemblyViewRelationship,"An AssemblyViewRelationship is a specialization of
            ViewDefinitionRelationship. It identifies a possibly quantified usage of a product
            version as a component of another product version. The relationship is established
            between two ProductViewDefinitions The inherited attribute ViewDefinitionRelationship
            identifies the ProductViewDefinition of the assembly. The inherited attribute
            ViewDefinitionRelationship identifies the ProductViewDefinition of the product version
            that plays the role of component. The AssemblyViewRelationship specifies that, in the
            ProductViewDefinition of the ProductViewDefinition that is referred to as
            ViewDefinitionRelationship, it is considered that the product version that is indirectly
            identified with the ViewDefinitionRelationship attribute, is a component of the product
            version that is indirectly identified with the ViewDefinitionRelationship attribute.
            NOTE: In another context, the structure of the assembly may be described differently,
            adding, for example, an intermediate level between the products. NOTE: This entity data
            type may be used to establish assembly relationships during design or to represent the
            composition of an assembly existing in the real world. "
37,AssemblyRelationshipSubstitution,"An AssemblyRelationshipSubstitution is a relationship that indicates
            that an AssemblyViewRelationship may be substituted by another AssemblyViewRelationship.
            Both assembly relationships shall refer to the same ProductViewDefinition of the same
            assembly. NOTE: Consequently, an AssemblyRelationshipSubstitution actually specifies
            that the product version that plays the role of component in the substituteRelationship
            may be replaced by the product version that plays the role of component in the
            baseRelationship. NOTE: The instance of the substitute constituent does not require the
            same spatial relationship or the same quantity. A substitute constituent does not
            require equivalent form, fit, and function of the constituent for which it is a
            substitute. NOTE: As instances of AssemblyViewRelationship establish assembly
            relationships relevant in the definition contexts of the assembly, the substitution only
            apply in these contexts. An AssemblyRelationshipSubstitution defines a one-way
            substitution: if A is specified as a substitute for B, B is not implied to be a
            substitute for A. "
38,AssignmentObject," An AssignmentObject defines the allocation of one datatype to another.
            Only non-abstract specializations of the AssignmentObject datatype can be instantiated.
         "
39,AssignmentObjectRelationship," An AssignmentObjectRelationship is an association between two
            AssignmentObjects. NOTE: An AssignmentObjectRelationship can be used to represent a
            historical sequence of assignments. "
40,AssociationObject,"An AssociationObject is an abstract generalization of instances that
            represent an association between two sets of product or activity
            data."
41,Assumption," An Assumption is the identification of something assumed to be true
            without proof. The reason or justification for an assumption being made shall be
            represented by a JustificationAssignment being assigned to the Assumption. An activity
            is planned based on the assumption that the resource required to perform the activity is
            available at a location. The item that is assumed shall be related to the Assumption by
            an ItemAssumed "
42,AssumptionAssignment," An AssumptionAssignment is an association between an Assumption and the
            context in which the assumption is made. The following set of assumptions are relevant
            to the project. "
43,AssumptionRelationship,"An AssumptionRelationship is an association between two Assumptions.
         "
44,AttachmentSlot,"An AttachmentSlot is a specialization of Product that represents the
            position in which a part is or can be attached to a parent product. A fast jet aircraft
            has two engines. These engines are removable and interchangeable between individual
            aircraft. An attachment slot represents each installation position for an engine so as
            to ensure that an accurate record is maintained of which engines fly in which pairing on
            which aircraft for how many hours. "
45,AttachmentSlotAsPlanned,"An AttachmentSlotAsPlanned is a specialization of AttachmentSlotVersion
            that identifies an individual that is the subject of a plan to realize an
            AttachmentSlot. FlyFasterWithUs Group will buy an aircraft with serial number 1234 next
            year. The company wishes to plan the schedule for removal of engines from the aircraft
            for maintenance purposes. Instances of the AttachmentSlotAsPlanned entity data type
            allow the company to associate individual engines with the aircraft at different times
            over the planned period. "
46,AttachmentSlotAsRealized,"An AttachmentSlotAsRealized is a specialization of AttachmentSlotVersion
            that identifies an individual that is a realized AttachmentSlot. FlyFasterWithUs Group
            operates an aircraft with serial number 1234 next year. The company records which
            individual engines power the aircraft at different times during the lifetime of the
            aircraft. "
47,AttachmentSlotDefinition,"An AttachmentSlotDefinition is a specialization of ProductViewDefinition
            that identifies a view of an AttachmentSlot. An airworthiness authority requires an
            airline company to report which individual engines power the aircraft at different times
            during the lifetime of the aircraft. "
48,AttachmentSlotDesign,"An AttachmentSlotDesign is a specialization of AttachmentSlotVersion
            that identifies the design version of an attachment slot. WeMakeBigPlanes Limited
            creates design version 1.34 of the attachment slot for the starboard engine of an
            aircraft. "
49,AttachmentSlotDesignToPlanned,"An AttachmentSlotDesignToPlanned is a relationship between a design
            version of an AttachmentSlot and a planned individual that conforms to the design.
            WeMakeBigPlanes Limited plans production of aircraft serial number 1234 with a starboard
            engine attachment slot that is to conform to design version 1.34. "
50,AttachmentSlotDesignToRealized,"An AttachmentSlotDesignToRealized is a relationship between a design
            version of an AttachmentSlot and a realized individual that conforms to the design.
            WeMakeBigPlanes Limited builds aircraft serial number 1234 with a starboard engine
            attachment slot that conforms to design version 1.34. "
51,AttachmentSlotOnProduct,"An AttachmentSlotOnProduct is a relationship between a product and an
            AttachmentSlot that is a location on the product at which to install removable parts. An
            aircraft has a pylon mounting on a wing as a location at which to install various
            equipment. An instance of the AttachmentSlotOnProduct entity data type identifies which
            attachment slot corresponds to the pylon. "
52,AttachmentSlotPlannedToRealized,"An AttachmentSlotPlannedToRealized is a relationship between a realized
            individual of an AttachmentSlot and a corresponding planned individual. WeMakeBigPlanes
            Limited builds aircraft serial number 2468 with a starboard engine attachment slot that
            was previously planned. "
53,AttachmentSlotVersion,"An AttachmentSlotVersion is a specialization of ProductVersion that
            identifies a version of AttachmentSlot. NOTE: This is a generic concept of version, in
            most situations it is possible and more specific to represent a version as
            AttachmentSlotDesign, AttachmentSlotAsPlanned or AttachmentSlotAsRealized.
         "
54,AxisPlacement,"An AxisPlacement is a specialization of DetailedGeometricModelElement
            that defines a right-handed, 2D or 3D, coordinate system. If the AxisPlacement belongs
            to a 3D geometric space, the third direction of the coordinate system is defined by the
            vector product of x-axis and y-axis. An AxisPlacement may be an AxisPlacement2d or an
            AxisPlacement3d. "
55,AxisPlacement2d,"An AxisPlacement2d is a specialization of AxisPlacement.
         "
56,AxisPlacement3d,"An AxisPlacement3d is a specialization of AxisPlacement.
         "
57,AxisPlacementMapping,"An AxisPlacementMapping is a geometric transformation defined by a
            source AxisPlacement and a target AxisPlacement that results from the transformation of
            the source one. Both instances of AxisPlacement shall have the same dimensionality. The
            transformation shall be computed as the isometric transformation that maps: the origin
            of the source onto the origin of the target; the AxisPlacement of the source onto the
            AxisPlacement of the target; the AxisPlacement of the source onto the AxisPlacement of
            the target. NOTE: By construction, the determinant of the transformation matrix equals
            one. "
58,Breakdown,"A Breakdown is a specialization of Product that identifies a
            partitioning of a product into a set of related elements so as to form explicit,
            parent-child views that comprise the product elements. The parent-child view is
            represented by BreakdownElementUsage instances relating the elements in the breakdown
            that are represented by BreakdownElement instances. "
59,BreakdownContext,"A BreakdownContext is a membership relationship between a
            BreakdownElement and a Breakdown of which the element is a member. "
60,BreakdownElement," A BreakdownElement is a specialization of Product that identifies the
            elements in one or more Breakdown instances. NOTE: BreakdownElement is non-specific and
            allows for various types of product breakdown. The more specific breakdown elements are
            FunctionalElement, PhysicalElement, SystemElement, and ZoneElement. "
61,BreakdownElementDefinition," A BreakdownElementDefinition is a specialization of
            ProductViewDefinition that identifies a view of a version ( BreakdownElementVersion) of
            a BreakdownElement. NOTE: BreakdownElementDefinition is non-specific and allows for
            various types of product breakdowns. The more specific breakdown element definitions are
            FunctionalElementDefinition, PhysicalElementDefinition, SystemElementDefinition and
            ZoneElementDefinition. "
62,BreakdownElementRealization,"A BreakdownElementRealization is a specialization of
            ProductDefinitionElementRelationship that identifies a relationship between a
            BreakdownElementDefinition or a BreakdownElementUsage and an item that realizes that
            element definition or usage. A pump realizes the 'provide fuel to engine' element in a
            functional breakdown for a ship. "
63,BreakdownElementUsage,"A BreakdownElementUsage is a specialization of
            ViewDefinitionRelationship that identifies a relationship between a parent and child
            BreakdownElement. "
64,BreakdownElementVersion," A BreakdownElementVersion is a specialization of ProductVersion that
            identifies a version of a BreakdownElement. NOTE: BreakdownElementVersion is
            non-specific and allows for various types of product breakdown. The more specific
            breakdown elements are FunctionalElementVersion, PhysicalElementVersion,
            SystemElementVersion and ZoneElementVersion. "
65,BreakdownOf,"A BreakdownOf is a relationship between a Breakdown and a Product of
            which the breakdown is a view. "
66,BreakdownVersion,"A BreakdownVersion is a specialization of ProductVersion that identifies
            a version of a Breakdown "
67,CartesianPoint,"A CartesianPoint is a specialization of DetailedGeometricModelElement
            that defines a point by a list of up to 3 cartesian coordinates. "
68,CartesianTransformation2d,"A CartesianTransformation2d is a specialization of
            DetailedGeometricModelElement. It is defined in a 2D geometric space by a 2*2 matrix and
            a cartesian point. Let be: M, the 2*2 multiplication matrix of the cartesian
            transformation; A, the point of the cartesian transformation; P, a point in the
            geometric space; Q, the result of the application of the transformation to P. The
            coordinates of Q shall be obtained by the formula: Q = M*P + A "
69,CartesianTransformation3d,"A CartesianTransformation3d is a specialization of
            DetailedGeometricModelElement that is a geometric transformation defined in a 3D
            geometric space by a 3*3 matrix and a cartesian point. Let be: M, the 3*3 multiplication
            matrix of the cartesian transformation; A, the point of the cartesian transformation; P,
            a point in the geometric space; Q, the result of the application of the transformation
            to P. The coordinates of Q shall be obtained by the formula: Q = M*P + A
         "
70,CausalConsequence,"A CausalConsequence is a specialization of ViewDefinitionRelationship
            that identifies secondary effects related to or resulting from a particular
            RiskConsequence. NOTE: A CausalConsequence is considered as an aftereffect of an
            immediate CausalConsequence. "
71,Certification,"A Certification is a certificate. It asserts satisfaction of particular
            quality criteria. NOTE: Certification information can be attached to any aspect of
            product or activity data. "
72,CertificationAssignment,"A CertificationAssignment is an association of a Certification with
            activity or product data. 'certified supplier' is an example of certification that may
            be granted to an organization by its contractor. "
73,ChainBasedGeometricItemSpecificUsage,"A ChainBasedGeometricItemSpecificUsage is a specialization of
            GeometricItemSpecificUsage that represents a chain of GeometricModels in a graph of
            GeometricModels, where the undirected links in the graph can be
            GeometricCoordinateSpaces, GeometricModelRelationships, or GeometricPlacementOperations.
         "
74,Classification," A Classification is a relationship to the class that a subject is a
            member of. NOTE: The subject is represented by a Block that has a ""classifiedAs"" as a
            property of type Classification. "
75,ClassificationRelationship," A ClassificationRelationship is a specialization of an
            RelationshipObject that is a relationship between two instances of Classification. NOTE:
            The meaning of the relationship is determined by classification which is identified by
            the RelationshipObject property. The possible classifications are subclasses of .
         "
76,Collection,"An Collection is a specialization of Product that identifies a set of
            data. "
77,CollectionAssignment,"An CollectionAssignment is an association of an CollectionViewDefinition
            with the instance to which the collection has relevance. "
78,CollectionMembership,"An CollectionMembership is an association of an CollectionViewDefinition
            with an instance that represents a member of the collection. "
79,CollectionRelationship,"An CollectionRelationship is a specialization of ProductRelationship
            that represents an association between two Collection instances. "
80,CollectionVersion,"An CollectionVersion is a specialization of ProductVersion that
            represents a revision of an Collection. "
81,CollectionVersionRelationship,"An CollectionVersionRelationship is a specialization of
            ProductVersionRelationship that represents an association between two CollectionVersion
            instances. "
82,CollectionVersionSequenceRelationship,"An CollectionVersionSequenceRelationship is a specialization of
            CollectionVersionRelationship that represents a sequential association between two
            CollectionVersion instances. "
83,CollectionViewDefinition,"An CollectionViewDefinition is a specialization of ProductViewDefinition
            that represents a characterization of an CollectionVersion relevant in one or more
            application domains and for one or more life cycle stages. A set of data relevant to the
            design of the SS Titanic and a set of data relevant to the as-built description of the
            SS Titanic might be represented as two instances of CollectionViewDefinition.
         "
84,ComponentUpperLevelIdentification,"A ComponentUpperLevelIdentification is a specialization of
            AssemblyViewRelationship. It identifies a component of an assembly with respect to an
            upper level in the assembly structure. NOTE: A ComponentUpperLevelIdentification does
            not add a component in an assembly, it provides a means to further characterize a
            component with respect to an upper level assembly. A ComponentUpperLevelIdentification
            may be used to assign a property to a component that applies in the context of a
            particular upper level assembly. The identified component is the version of product,
            indirectly referred to as the ViewDefinitionRelationship of the subAssemblyRelationship.
            The upper level assembly is the version of product, indirectly referred to as the
            ViewDefinitionRelationship of the upperAssemblyRelationship. "
85,CompositionOfState,"A CompositionOfState is a specialization of state relationship and it
            relates the nature of states in relation to one another, where two or more State parts
            compose a whole State; and furthermore, whole states can become parts of yet another
            whole State. "
86,CompositionOfStateDefinition,"A CompositionOfStateDefinition is a specialization of
            StateDefinitionRelationship. It relates StateDefinition entities to one another, when
            two or more StateDefinition entities act as parts to compose a whole StateDefinition;
            and furthermore, whole StateDefinition entities can become parts of yet another whole
            StateDefinition. "
87,ConcurrentElements,"A ConcurrentElements is a specialization of StructuredTaskElement that
            comprises a set of actions to be performed during the time required for the longest
            task. No specific order is required. "
88,Condition,"A Condition is a definition of the precedent that must be fulfilled
            before a statement or relationship becomes valid. NOTE: The condition is defined as a
            text based expression that is represented by the description attribute. The parameters
            against which the condition is to be evaluated are identified by ConditionParameter. The
            target or consequence of a condition is represented by ConditionAssignment. ""If the
            engine has been running for 10000 hours then it requires a service"" is an example of a
            conditional statement. The conditional part of the statement is ""If the engine has been
            running for 10000 hours"" which is stored in definition attribute on Condition. The
            parameter or subject of the condition is ""the engine"" which is represented by a
            ConditionParameter identifying the ProductAsRealized which represents the engine. The
            consequence of the condition is ""then it requires a service"". This is represented by
            ConditionAssignment identifying the task to perform the service, a TaskMethod.
         "
89,ConditionalEffectivity," A ConditionalEffectivity is a specialization of Effectivity for which
            the domain of applicability is defined by an explicit condition. "
90,ConditionAssignment,"A ConditionAssignment is a relationship that identifies the statement or
            relationship to which a Condition applies. Condition 29 applies to the relationship
            between a Saab 9.3 car and the activity of checking the oil level on that make of car.
         "
91,ConditionEvaluation,"A ConditionEvaluation is a record of the evaluation of a Condition and
            the subsequent result. A Condition is ""If the measured value of oil pressure from gauge
            3 on a car is less than 2 bar then check the oil level"" When the condition is evaluated
            it is recorded by an instance of ConditionEvaluation. The measured value of oil pressure
            from gauge 3 on car with VIN 12345678 is 1.9 bar. Therefore the result of the evaluated
            the condition is true. "
92,ConditionEvaluationAssignment,"A ConditionEvaluationAssignment is a relationship that identifies the
            statement or relationship to which the ConditionEvaluation applies. The
            ConditionEvaluation (instance 87) is assigned to the activity of checking the oil level
            on car VIN 12345678. "
93,ConditionEvaluationParameter,"A ConditionEvaluationParameter is an identification of the product or
            activity data used in the evaluation of the Condition identified by the
            ConditionEvaluation. The measured value of oil pressure from gauge 3 on car with VIN
            12345678 (value = 1.9 bar). NOTE: The product or activity data is defined in
            ConditionEvaluationParameterSelect. "
94,ConditionParameter,"A ConditionParameter is a representation of the product or activity data
            that is used to specify a Condition. Oil pressure on gauge 3. NOTE: The product or
            activity data is defined in ConditionParameterSelect. "
95,ConditionRelationship,"A ConditionRelationship is a relation between two conditions.
         "
96,ContextualItemShape," A ContextualItemShape is a specialization of ItemShape that identifies
            the shape of a product version in the context of its use in another product version. The
            product version whose contextual shape is identified, is the product version associated
            with the ViewDefinitionRelationship of the ViewDefinitionUsage. Flexible part may have
            several shapes, each associated with a particular occurrence of the part in assemblies.
         "
97,ContextualShapeRepresentation,"A ContextualShapeRepresentation is a relationship that relates a
            ContextualItemShape and a GeometricModelRelationship. "
98,Contract,A Contract is a binding agreement. 
99,ContractAssignment,"A ContractAssignment is an association of a Contract with activity or
            product data. "
100,ContractRelationship,"A ContractRelationship is a relationship between two Contract instances.
         "
101,DatedEffectivity,"A DatedEffectivity is a specialization of Effectivity for which the
            domain of applicability is defined as an interval of time bounded by dates or events.
            The interval may be open-ended. Events may be used to bound a DatedEffectivity period,
            at planning phase. Depending on which of the DatedEffectivity and DatedEffectivity
            attributes are specified, the actual domain of time defined by a DatedEffectivity is:
            the time interval between the start and end date or event; the open time interval that
            starts at the start date or event; the open time interval that ends at the end date or
            event (i.e. the start is unknown). If the DatedEffectivity is an event that actually
            identifies a point in time that comes before the DatedEffectivity, then the actual
            domain of effectivity is empty. "
102,DateTimeAssignment," A DateTimeAssignment is a specialization of an AssignmentObject that
            represents the assignment of a date and time, DateTimeString with activity or product
            data. NOTE: The meaning of the assignment is determined by classification which is
            identified by the AssignmentObject property. The possible classifications are subclasses
            of . "
103,DecisionPoint,"A DecisionPoint is a type of StructuredTaskElement. It requires a
            decision that determines which further TaskElement is to be followed. NOTE: The
            condition on which the decision is based optionally allows a further TaskElement to be
            invoked to provide the basis for the decision. "
104,DecreasingResourceEvent," A DecreasingResourceEvent is a specialization of ResourceEvent that
            decreases the balance of a managed resource. Filling a requisition reduces an inventory.
         "
105,DefinedStateRelationship,"A DefinedStateRelationship is a relationship that links a StateAssertion
            to a StateAssessment. "
106,Descriptor," A Descriptor is a set of words that describe something. The same thing
            may have multiple descriptions associated with it. Relating both a short description and
            a long description to an operational activity or an organization, as required by the US
            DoD Architecture Framework, are examples of multiple descriptions applied to the same
            item. "
107,DescriptorRelationship," A DescriptorRelationship is a relationship between a pair of
            Descriptors "
108,DetailedGeometricModelElement,"A DetailedGeometricModelElement identifies a geometric construct. Only
            non abstract specializations of the DetailedGeometricModelElement entity data type can
            be instantiated. "
109,DigitalDocumentDefinition,"A DigitalDocumentDefinition is a specialization of DocumentDefinition.
            It identifies a collection of files that are archived on an optical computer disc,
            magnetic, electronic storage, or a combination thereof. A digital document definition
            may consist of one or many component digital files. "
110,DigitalFile,"A DigitalFile is a specialization of File. A DigitalFile contains
            computer interpretable data and is stored on an electronic device. "
111,DirectedActivity,"A DirectedActivity is a specialization of Activity. It identifies an
            activity that is governed by a WorkOrder. "
112,Direction,"A Direction is a specialization of DetailedGeometricModelElement that
            defines a 2 or 3 dimensional vector. NOTE: A Direction is not located in a geometric
            space but is used in the definition of geometric entities like AxisPlacement.
         "
113,DistributionByValue," A DistributionByValue is a specialization of ProbabilityDistribution
            that explicitly lists pairs of random variable values and function values. NOTE:
            DistributionByValue is used where there is no named distribution which can be used to
            identify the distribution, for example, when the distribution is derived from
            observation. "
114,Document,"A Document is a specialization of Product used to identify documentation
            data that is under configuration change management. "
115,DocumentAssignment,"A DocumentAssignment is a mechanism to associate a document with product
            data, where the assigned document provides information about the data with which it is
            associated. "
116,DocumentDefinition," A DocumentDefinition is a specialization of ProductViewDefinition that
            is a DocumentVersion in a particular format. NOTE: A DocumentVersion may have more than
            one representation. A version of a logical document, which contains a shape model, may
            be represented in the native formats of different CAD systems. Each DocumentDefinition
            is a DigitalDocumentDefinition or a PhysicalDocumentDefinition. NOTE: Aspects of the
            representation may not be known at the time the identification is established.
         "
117,DocumentDefinitionRelationship,"A DocumentDefinitionRelationship is a relationship between two instances
            of DocumentDefinition. "
118,DocumentVersion,"A DocumentVersion is a specialization of ProductVersion A
            DocumentVersion identifies a particular version of a document. "
119,Effectivity," An Effectivity is the identification of a domain of applicability.
            NOTE: Instances of Effectivity may be applied to any kind of product or activity data.
         "
120,EffectivityAssignment,"An EffectivityAssignment is the association of an Effectivity with
            product or activity data. "
121,EffectivityRelationship,"An EffectivityRelationship is an association between two instances of
            Effectivity. The meaning of the relationship is represented with the relationType
            attribute. "
122,ElementConstraint,"An ElementConstraint is a specialization of TaskElementRelationship that
            signifies a constraint between TaskElements. The constraint may only apply within the
            context of a TaskMethod or TaskElement, specified as the context. "
123,EndTask,"An EndTask is a type of TaskElement. It signifies a point at which to
            end the task. "
124,Envelope,"An Envelope is an historical record of the transmission of a Message. It
            is used to record the audit data for sending and acknowledging a Message. Because it is
            an historical record, each Envelope is only used once, and so is not versioned.
         "
125,EnvelopeRelationship," An EnvelopeRelationship is an association of one Envelope with another.
            NOTE: The most obvious use of the association is to link an Envelope to its
            acknowledgements. "
126,EnvironmentAssignment," A EnvironmentAssignment is an assignment of a product to the
            environment in which it operates or is supported. "
127,EnvironmentDefinition,"An EnvironmentDefinition is a specialization of Product that is used to
            identify the definition of typical environment in which a product is to be, has been or
            is planned to be deployed in, operated in, or supported in. "
128,EnvironmentDefinitionVersion,"A EnvironmentDefinitionVersion is a specialization of ProductVersion
            that identifies a particular version of an EnvironmentDefinition. "
129,EnvironmentDefinitionView," A EnvironmentDefinitionView is a specialization of
            ProductViewDefinition that provides a view of a version of an environment definition
            relevant for one or more application domains. This view collects the characteristics
            that define an environment. NOTE: The characteristics include the resources available,
            the locations in which the product is to operate as well as climatic conditions such
            temperature ranges. "
